OBJECTID,NAME,CODE,AREA,GRID_REF,EASTING,NORTHING,LATITUDE,LONGITUDE,NAME0,STATUS,ID,FILE,AREA0,EASTING0,NORTHING0,GIS_DATE,VERSION,Shape__Area,Shape__Length,GlobalID
43,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.137522933485806,589167.173718,205613.294525,20060329,1,1375.22933959961,183.425525184591,b77a1664-8e45-429f-bf02-40a3a19d9fda
44,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.133049921351853,596296.032508,207749.61742,20060329,1,1330.49922943115,231.639099680764,5781ff95-75f1-4aed-8063-c95dc4184fa0
45,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.090975553966594,590317.936196,202590.312172,20060329,1,909.755508422852,155.231573418362,5cb96d0a-7f3b-41a7-9f88-17aa23f32c18
46,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.055025835495933,592668.2998,205487.3563,20060329,1,550.258415222168,180.259768405915,2a3c8d88-8b21-4423-b8e6-ec2bcda608bf
47,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.054157413523998,596190.838601,207746.242488,20060329,1,541.57413482666,113.337873768523,925ce692-6368-47a2-9c75-088f5b4a84d0
48,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.03817629156889,588843.148259,205480.735887,20060329,1,381.762893676758,98.9263327054146,54e1d84f-957d-4ae5-96ff-7710a100e633
49,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.0380437894977,588873.313806,205550.277001,20060329,1,380.437889099121,104.83815391052,0be988d5-a218-4156-bf7d-43a97e9918b2
50,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.035995095959019,590208.750832,206805.568452,20060329,1,359.950927734375,89.0005979041268,19b7b9e1-e3a0-4766-b432-f9205a8f6663
51,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.022578108776306,592259.610682,205310.322674,20060329,1,225.781089782715,75.5777427411676,3c48b4e4-46a9-4af5-b5d8-f9e4703b829c
52,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.016533596403643,592418.727591,205377.447179,20060329,1,165.335975646973,54.9612547899239,7870d3a8-a100-472d-8fcc-8c76ee1fb769
53,Blackwater Estuary (Mid-Essex Coast Phase 4),UK11007,4403.40788983,TL975098,597544.363,209879.7681,51:45:09N,0:52:21E,,Listed,0,,0.009677574860106,592490.161551,205421.444012,20060329,1,96.7757568359375,38.8680349968898,ec20e47b-8dfd-4bb9-8ab0-959d1888ec08
54,Colne Estuary (Mid-Essex Coast Phase 2),UK11015,2713.99136157,TM058134,605885.8748,213493.0589,51:47:04N,0:59:00E,,Listed,0,,1600.34922125,605885.8748,213493.0589,20031211,1,16003492.2118835,71570.6805397679,9d4d3288-bbd2-407e-b66e-ccd70d915580
55,Colne Estuary (Mid-Essex Coast Phase 2),UK11015,2713.99136157,TM058134,605885.8748,213493.0589,51:47:04N,0:59:00E,,Listed,0,,686.129177263029,609112.194,214092.2367,20031211,1,6861291.77281952,53137.4477108447,67f65128-0e32-48ed-97b1-534225a233ea
56,Colne Estuary (Mid-Essex Coast Phase 2),UK11015,2713.99136157,TM058134,605885.8748,213493.0589,51:47:04N,0:59:00E,,Listed,0,,349.205527129486,607448.0274,216689.0799,20031211,1,3492055.27155304,26103.2131228537,d398644e-4fd8-4669-8472-e15a9e4435bc
57,Colne Estuary (Mid-Essex Coast Phase 2),UK11015,2713.99136157,TM058134,605885.8748,213493.0589,51:47:04N,0:59:00E,,Listed,0,,43.5445272274784,609556.466412,216111.177669,20031211,1,435445.272232056,4609.47735373885,a2d864f9-3bac-42cd-92b5-b2f19ac50ed3
58,Colne Estuary (Mid-Essex Coast Phase 2),UK11015,2713.99136157,TM058134,605885.8748,213493.0589,51:47:04N,0:59:00E,,Listed,0,,30.9041913351761,605527.960686,217157.425607,20031211,1,309041.913261414,3177.1251306867,3b515fe8-f467-4d18-8c91-4618cb9048d8
59,Colne Estuary (Mid-Essex Coast Phase 2),UK11015,2713.99136157,TM058134,605885.8748,213493.0589,51:47:04N,0:59:00E,,Listed,0,,3.83604872561175,609721.40966,212144.709136,20031211,1,38360.4871902466,1564.96621247162,2a055e5a-83f0-40c6-ad49-ec1fd292f311
60,Colne Estuary (Mid-Essex Coast Phase 2),UK11015,2713.99136157,TM058134,605885.8748,213493.0589,51:47:04N,0:59:00E,,Listed,0,,0.022668640646855,604844.478473,217555.523145,20031211,1,226.686424255371,59.6565953198134,9950d59f-e118-4d46-b97b-826a4f035544
61,Esthwaite Water,UK11024,139.187234496893,SD360965,336013.06625,496549.14316,54:22:22N,2:59:10W,,Listed,0,,139.187234496893,336013.06625,496549.14316,20031218,1,1391872.34492493,7468.20470719347,cfdbceb8-b763-487a-bbd5-5d71c5bc25fc
62,Gibraltar Point,UK11027,422.196235498856,TF564586,556434.464342,358602.467092,53:06:06N,0:20:06E,,Listed,0,,422.196235498856,556434.464342,358602.467092,20031204,1,4221962.35501099,13187.2466322712,ca0d4305-37ab-4bac-8fd9-df282e2540c7
63,Holburn Lake & Moss,UK11030,28.1005212153662,NU050365,405075.427367,636505.628495,55:37:19N,1:55:15W,,Listed,0,,28.1005212153662,405075.427367,636505.628495,20031218,1,281005.21206665,2451.66479026002,ae6b3fe7-196c-479d-b26a-0a5260f85070
