Area,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
"Kingston upon Hull, City of",E06000010,24174,132856,132857,24174,132856,132857,24163,132856,132857,16.8%,92.3%,92.3%,16.8%,92.3%,92.3%,16.8%,92.3%,92.3%
Isle of Wight,E06000046,2110,3329,3333,2117,3338,3342,2120,3338,3342,2.3%,3.6%,3.6%,2.3%,3.6%,3.6%,2.3%,3.6%,3.6%
Kent,E10000016,27614,59153,75199,28636,64437,81001,30729,66570,81010,3.2%,7.0%,8.8%,3.4%,7.6%,9.5%,3.6%,7.8%,9.5%
Kirklees,E08000034,7844,12711,12727,7843,12713,12729,7894,12735,12750,3.5%,5.6%,5.6%,3.5%,5.6%,5.6%,3.5%,5.6%,5.6%
Knowsley,E08000011,321,394,405,578,678,678,579,678,678,0.4%,0.5%,0.5%,0.8%,0.9%,0.9%,0.8%,0.9%,0.9%
Lancashire,E10000017,16096,53603,75683,14799,51789,74729,16249,52985,75570,2.3%,7.7%,10.9%,2.1%,7.5%,10.8%,2.3%,7.6%,10.9%
Leeds,E08000035,10939,14888,15075,11483,16204,16391,12000,16369,16475,2.6%,3.5%,3.6%,2.7%,3.8%,3.9%,2.8%,3.9%,3.9%
Leicester,E06000016,9546,15261,16083,9553,15276,16099,10617,20261,21331,6.2%,9.9%,10.4%,6.2%,9.9%,10.5%,6.9%,13.2%,13.8%
Leicestershire,E10000018,11312,16301,16713,12241,17552,17964,12354,17764,18178,2.9%,4.2%,4.3%,3.2%,4.5%,4.7%,3.2%,4.6%,4.7%
Lincolnshire,E10000019,59423,158626,167339,60221,160997,169756,60495,161067,170355,12.1%,32.3%,34.0%,12.3%,32.8%,34.5%,12.3%,32.8%,34.7%
Liverpool,E08000012,1795,3031,3043,174,1399,1411,802,2213,3212,0.7%,1.1%,1.1%,0.1%,0.5%,0.5%,0.3%,0.8%,1.2%
Luton,E06000032,1085,1510,1510,1085,1510,1510,1097,1510,1510,1.2%,1.6%,1.6%,1.2%,1.6%,1.6%,1.2%,1.6%,1.6%
Manchester,E08000003,2518,10605,10858,4665,11486,11747,4911,12177,12394,1.0%,4.1%,4.2%,1.8%,4.5%,4.6%,1.9%,4.7%,4.8%
Medway,E06000035,2746,6850,8491,2765,7541,9200,4326,9108,9200,2.1%,5.2%,6.5%,2.1%,5.7%,7.0%,3.3%,6.9%,7.0%
Middlesbrough,E06000002,818,1673,1673,818,1673,1673,817,1673,1673,1.1%,2.3%,2.3%,1.1%,2.3%,2.3%,1.1%,2.3%,2.3%
Milton Keynes,E06000042,746,1737,1990,746,1737,1990,746,1738,1990,0.6%,1.3%,1.5%,0.6%,1.3%,1.5%,0.6%,1.3%,1.5%
No location,No Location,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
Newcastle upon Tyne,E08000021,466,806,807,467,824,824,470,883,883,0.3%,0.6%,0.6%,0.3%,0.6%,0.6%,0.3%,0.6%,0.6%
Norfolk,E10000020,25393,41356,55800,27497,45965,61533,28092,47523,64873,4.3%,6.9%,9.4%,4.6%,7.7%,10.3%,4.7%,8.0%,10.9%
North East Lincolnshire,E06000012,6113,16229,40694,6131,16247,40712,6135,16245,40713,6.8%,18.2%,45.6%,6.9%,18.2%,45.6%,6.9%,18.2%,45.6%
North Lincolnshire,E06000013,14432,16292,16810,14450,16310,16828,14453,16311,16828,13.9%,15.7%,16.2%,14.0%,15.8%,16.3%,14.0%,15.8%,16.3%
