Name,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
East Devon District,E07000040,7942,10538,10684,7950,10547,10694,7999,10599,10745,7.7%,10.2%,10.4%,7.7%,10.3%,10.4%,7.8%,10.3%,10.4%
East Hampshire District,E07000085,1261,1535,1535,1289,1563,1563,1503,1810,1810,1.7%,2.1%,2.1%,1.8%,2.1%,2.1%,2.0%,2.5%,2.5%
East Hertfordshire District,E07000242,4009,8028,8633,4027,7946,8454,4308,8001,8529,5.1%,10.2%,11.0%,5.1%,10.1%,10.7%,5.5%,10.2%,10.8%
East Lindsey District,E07000137,15759,49427,49625,15863,49580,49778,15871,49589,49785,14.3%,44.9%,45.1%,14.4%,45.0%,45.2%,14.4%,45.0%,45.2%
East Northamptonshire District,E07000152,1046,1382,1382,1046,1382,1382,1072,1410,1410,2.0%,2.6%,2.6%,2.0%,2.6%,2.6%,2.0%,2.6%,2.6%
East Riding of Yorkshire,E06000011,20474,50527,51746,20517,50582,51801,21973,52317,53567,8.6%,21.3%,21.8%,8.6%,21.3%,21.8%,9.3%,22.0%,22.6%
East Staffordshire District (B),E07000193,1876,15260,15329,1877,15260,15329,1917,15784,15853,2.8%,22.6%,22.7%,2.8%,22.6%,22.7%,2.8%,23.3%,23.4%
East Suffolk District,E07000244,3950,9889,9990,4167,10812,10946,4217,10852,10986,2.3%,5.8%,5.9%,2.5%,6.4%,6.5%,2.5%,6.4%,6.5%
Eastbourne District (B),E07000061,1515,13959,13959,1515,13959,13959,1515,13959,13959,2.7%,24.9%,24.9%,2.7%,24.9%,24.9%,2.7%,24.9%,24.9%
Eastleigh District (B),E07000086,1911,2207,2393,2289,2593,2779,2290,2594,2780,2.9%,3.4%,3.7%,3.5%,4.0%,4.3%,3.5%,4.0%,4.3%
Eden District,E07000030,2189,3281,3301,2210,3304,3324,2210,3323,3343,4.0%,6.0%,6.0%,4.0%,6.0%,6.1%,4.0%,6.1%,6.1%
Elmbridge District (B),E07000207,5144,14222,14227,5248,14801,14806,5278,15245,15250,7.3%,20.3%,20.3%,7.5%,21.1%,21.1%,7.5%,21.7%,21.7%
Enfield London Boro,E09000010,4289,13019,14038,4288,12960,13979,4294,12963,13981,3.0%,9.1%,9.8%,3.0%,9.1%,9.8%,3.0%,9.1%,9.8%
Epping Forest District,E07000072,2496,5402,5862,2409,5305,5765,2438,5432,5890,3.1%,6.8%,7.4%,3.0%,6.7%,7.2%,3.1%,6.8%,7.4%
Epsom and Ewell District (B),E07000208,1012,1208,1208,1013,1209,1209,1011,1209,1209,2.8%,3.3%,3.3%,2.8%,3.3%,3.3%,2.8%,3.3%,3.3%
Erewash District (B),E07000036,1635,15173,17764,1635,15173,17764,1641,15170,17764,2.7%,24.6%,28.8%,2.7%,24.6%,28.8%,2.7%,24.6%,28.8%
Exeter District (B),E07000041,7897,9856,9856,7896,9856,9856,7868,9821,9821,11.9%,14.9%,14.9%,11.9%,14.9%,14.9%,11.9%,14.9%,14.9%
Fareham District (B),E07000087,521,1301,1301,548,1603,1603,547,1603,1603,0.9%,2.2%,2.2%,0.9%,2.7%,2.7%,0.9%,2.7%,2.7%
Fenland District,E07000010,16045,19078,19078,16133,19164,19164,16347,19571,19571,25.9%,30.8%,30.8%,26.1%,31.0%,31.0%,26.4%,31.6%,31.6%
Forest of Dean District,E07000080,1743,2495,2495,1743,2497,2497,1740,2505,2505,2.8%,4.0%,4.0%,2.8%,4.0%,4.0%,2.8%,4.1%,4.1%
Fylde District (B),E07000119,461,2448,3175,391,2442,3176,393,2589,3326,0.9%,4.6%,6.0%,0.7%,4.6%,6.0%,0.7%,4.9%,6.3%
Gateshead District (B),E08000037,404,1062,1062,468,931,931,481,1105,1105,0.4%,1.0%,1.0%,0.4%,0.8%,0.8%,0.4%,1.0%,1.0%
Gedling District (B),E07000173,3476,5752,5946,3490,5808,6002,3513,5820,6019,5.7%,9.4%,9.8%,5.7%,9.5%,9.9%,5.8%,9.6%,9.9%
Gloucester District (B),E07000081,5216,7589,7589,5217,7593,7593,5222,7616,7616,7.9%,11.6%,11.6%,7.9%,11.6%,11.6%,8.0%,11.6%,11.6%
Gosport District (B),E07000088,439,1016,1016,558,2156,2156,560,2156,2156,1.0%,2.3%,2.3%,1.3%,4.9%,4.9%,1.3%,4.9%,4.9%
