FID,CTYUA24CD,CTYUA24NM,CTYUA24NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
39,E06000041,Wokingham, ,476624,169903,-0.89936,51.42297,178990572.96032,85716.9275440401,e43685f5-ebe1-4acd-8f4a-d0443e02d4bb
40,E06000042,Milton Keynes, ,486408,242308,-0.74071,52.07242,308673806.561249,100935.717675825,a51e1b73-66e0-415f-aaca-52b37582d48c
41,E06000043,Brighton and Hove, ,530278,106850,-0.15081,50.84651,82856571.1821365,57926.4679714059,3a10f7bf-1f17-4f54-927a-dc967b4f0dcd
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.808,40382199.094574,69569.0196375428,10a1c234-a6f6-402c-b05d-a68c2286382b
43,E06000045,Southampton, ,442303,113700,-1.39953,50.92121,49849054.7843781,59223.7971182556,eefb2452-569c-45a2-ba70-cf1103723acb
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.67129,379679675.759098,188651.166731397,a3c569d1-adf2-4304-8a23-2255bfc36b60
45,E06000047,County Durham, ,410383,532242,-1.84048,54.68513,2230916083.57796,309278.104323957,3448c307-4f76-441f-bb6b-64fb5228155a
46,E06000049,Cheshire East, ,380510,363462,-2.293,53.16793,1166289498.66608,290321.098180964,dc4b353c-e666-4fbb-a403-833d1f9c55a2
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.16336,919929918.254143,321727.703297465,2e1a2d5e-c446-4d33-9f96-6ee2c3dd64e6
48,E06000051,Shropshire, ,350227,302957,-2.73667,52.6221,3197365868.24832,560025.347202274,033d2e2d-1fe4-40f5-aabc-0044ac814f01
49,E06000052,Cornwall, ,212497,64493,-4.64255,50.45023,3548854866.70507,1118577.56327718,36413eaf-59ae-4cd9-9e8e-c93ca22acbd3
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.92333,16344706.7071983,103157.102030377,f9de741a-6168-4fd4-9670-afe92458b45c
51,E06000054,Wiltshire, ,405213,158862,-1.92656,51.32883,3255420541.49961,394902.615114753,d2d8a52b-b5ed-4b7e-a965-4fd1fdcb3be8
52,E06000055,Bedford, ,505721,256463,-0.45464,52.19629,476389221.943596,129897.953222371,86d87701-eafa-47c4-9448-f31eea9534b2
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.99904,715599199.247597,229306.066680391,4d0ce6cd-ecf3-4213-8af1-bf4cf532e8d4
54,E06000057,Northumberland, ,395323,600700,-2.07522,55.30038,5032415322.02342,585622.865590586,84d8602e-f450-4ef3-8134-1eb3bc6e0f0e
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94067,-1.84807,50.7461,162087800.235004,156267.764340964,666f3f45-11fc-4fa6-b733-0e2f8ecf0beb
56,E06000059,Dorset, ,370877,99796,-2.41459,50.79698,2490967005.03929,556281.350061826,79f47a1d-e56d-4bd9-b544-6a1545314d9c
57,E06000060,Buckinghamshire, ,482503,208562,-0.80574,51.76967,1565020702.31808,354594.734885997,cca5b8c7-3f3f-440f-8530-34e6a3973576
58,E06000061,North Northamptonshire, ,493590,281719,-0.62505,52.42547,986607243.912437,205118.377243474,7960cfdd-4912-40e7-84e7-0fff3aedf34c
59,E06000062,West Northamptonshire, ,467187,263879,-1.01683,52.26899,1380390549.42884,254647.851456936,d91f576f-1978-4aa3-81b7-693b63d57670
60,E06000063,Cumberland, ,315764,533086,-3.30816,54.68576,3035738673.37363,705069.37926957,bac0b024-bc85-430e-8c45-a46403beba5b
61,E06000064,Westmorland and Furness, ,353889,510941,-2.71337,54.4917,3789462057.36897,596161.242791404,d9450632-6a5d-417e-bd22-085df075d3c6
62,E06000065,North Yorkshire, ,429508,466514,-1.55034,54.0937,8040215105.39124,858197.787676205,d84da9b3-1d74-435e-82d0-7c0b0846f0d2
63,E06000066,Somerset, ,309294,131078,-3.29604,51.07183,3451737869.7877,530139.163855159,87bd2af0-91f5-4334-bfab-560e93e19075
64,E08000001,Bolton, ,368352,409874,-2.47952,53.58451,139791802.436264,78806.8187708977,5847735c-bab5-41e4-ae6c-c969633d0d9c
65,E08000002,Bury, ,379658,410767,-2.3088,53.5931,99468459.5013733,66969.7286387607,dbc365d3-ea04-4603-924f-6184b3949344
66,E08000003,Manchester, ,384591,397063,-2.2336,53.47009,115611214.791565,83889.703012767,568f8538-8e45-4e0d-bfd7-09ac81df87b8
67,E08000004,Oldham, ,396603,406784,-2.05275,53.55768,142346905.175797,69717.0655177556,250bb68a-73fc-4b02-9f2d-7f68f8267d99
68,E08000005,Rochdale, ,390315,412326,-2.14784,53.60742,158123355.609039,81287.3653063383,62be26a6-5179-4e49-834e-8585fb3c1b40
69,E08000006,Salford, ,374556,398128,-2.38485,53.47927,97168928.1113586,62386.933966781,d0ad7caf-afa2-4bad-bede-8e391ff82e05
70,E08000007,Stockport, ,391807,388258,-2.12466,53.39111,126067505.396011,71496.2981464957,a60b0c01-aa8e-4d9d-aa60-a55f2a5a182d
71,E08000008,Tameside, ,394987,397995,-2.077,53.47867,103160944.748672,54036.9672278895,93be3af4-58a5-4e50-bba9-6a0ad8e74bad
72,E08000009,Trafford, ,375790,391163,-2.36572,53.41673,106021261.21106,59296.7038670279,5a884654-8ee2-4a06-84d1-500640d1a08a
73,E08000010,Wigan, ,362139,402126,-2.57242,53.51445,188157307.929443,84976.5079232844,60bd5deb-942a-4a0e-8a23-d5817b1843c7
74,E08000011,Knowsley, ,344762,393778,-2.83298,53.43789,86539624.9655075,66871.0236198759,0c9ea076-bc20-4e14-8b40-55fa4404970c
75,E08000012,Liverpool, ,339359,390556,-2.91368,53.40833,111819527.207237,61239.7229929945,bea98d0d-d8b9-4654-ad7d-cf8293704483
