FID,AreaServed,ID,COMPANY,Acronym,CoType,AreaType,WARNINGS,Shape__Area,Shape__Length
360,Limebrook Way,84,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,786650.233222961,3919.55998622037
361,"Lincolnshire Lakes, Scunthorpe",85,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,2527657.44560242,9929.55662164106
362,Malyons Lane,87,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,228763.426124573,2882.13091628738
363,"Minster Way, Beverley",90,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,418317.138122559,4006.08414499209
364,Oakham Phase 1 and 2,93,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,354584.669769287,3674.00375290405
365,Parklands,97,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,930369.332057953,6670.18811068064
366,Pitty Close Farm,98,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,105336.808746338,1592.65695624954
367,Prebend Lane,99,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,192609.417572021,1913.22973682753
368,Salhouse Road,101,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,173857.768936157,2874.69098839791
369,Throckley North,104,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,306030.158706665,3144.50300472824
370,"Ashby Road, Daventry",59,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,376620.979858398,3257.43169597948
371,Breary Lane,65,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,205660.520370483,2663.88186186263
372,"Castle Hill, Ebbsfleet",66,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,769066.227882385,4205.82292214772
373,"Eastern Quarry, Ebbsfleet",72,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1678176.08242798,5620.14839892029
374,"Forgewood, Crawley",75,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,758828.045669556,7228.20379484071
375,Lambton Park,83,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,210061.750350952,1893.8677529794
376,Manse Farm,88,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,354799.606292725,2715.5927065685
377,Martello Lakes,89,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,454960.490821838,3970.69151855143
378,"Former Nestle Factory, Nestle's Avenue, Hayes",76,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,68391.0034255981,1271.50086174329
379,Newmarket Road,91,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,607113.374389648,5234.77596782192
380,North Whiteley,92,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,962786.940738678,6128.00998373301
381,Oakwood Park,94,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,137138.263534546,1800.26354431775
382,Otterham Quay Lane,95,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,125212.463600159,1822.1102852502
383,Palfrey Bungalow,96,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1760.69493103027,169.66155029261
384,St Giles Park,102,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,284096.731109619,2556.44276088937
385,"Turners Hill Road, West Sussex",105,Independent Water Networks Ltd,IWN,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,86797.5268630981,1277.0097544591
386,Tamworth West Centurion Way,208,South Staffordshire Water,SSC,regional water only company,inset, ,74677.4358673096,1277.20592709614
387,"Barking Riverside Phase 2,3,4",179,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,Requires variation to correct the boundary,920373.929145813,5832.30857888512
388,Barking Riverside Phase 1,178,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,Requires variation to correct the boundary,208031.244316101,2289.272656693
389,"Brewery Square, Dorchester South",180,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,44217.6582298279,1333.10070429549
390,Bromley Common,181,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,97400.4701766968,1663.0064548385
391,"Embassy Gardens Phase 2, Nine Elms, London",183,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,22055.2978591919,714.222219755403
392,"Emersons Green, South Gloucestershire",185,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,962406.291164398,7265.9996040599
393,"Farndon Road, Market Harborough",186,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,239719.775169373,2507.68319679402
394,"Graylingwell Park, Chichester",187,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,342496.978973389,4823.96419837976
395,"Great Western Park, Didcot",188,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,Requires variation to correct the boundary,1806246.30702209,9971.14192007001
396,"Hale Village,Tottenham",189,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,48659.9467391968,895.89983701965
397,Heart Of East Greenwich,190,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,Requires variation to correct the boundary,29829.9396820068,742.568824793815
398,"Hills Farm Lane, Horsham",191,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,448433.910030365,3863.92529074162
399,"Kennet Island Phase 5 and 6, Reading",192,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,38924.6861190796,997.890061187659
400,"Kennet Island Phase 7, Reading",193,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,73384.7779006958,1506.78179985352
401,Kingsbrook,194,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,3065804.72286987,18619.2374648879
402,"Kingsmere, Bicester",195,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset,Requires variation to correct the boundary,992862.423324585,4498.23209358134
403,"Marine Wharf, Deptford",196,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,28717.7538528442,735.987666010907
404,"Millharbour Central, Millwall",197,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,10290.1850891113,434.343516793988
405,"New South Quarter, Croydon",198,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,24797.2168502808,842.483230748036
406,"Newlands, Waterlooville",199,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,1874690.60429001,9464.46830296786
407,"Norwich Common, Wymondham",200,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,121868.154037476,1793.25548830424
408,"Park Views, Epsom",202,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,169935.185310364,2294.95705585521
409,"Prince of Wales Drive, Battersea",203,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,20871.8766860962,607.109653936388
410,"RAM Quarter, Wandsworth",204,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,16108.4075469971,506.573642676626
411,"Riverlight, Battersea",205,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,20885.0177078247,765.57306767628
412,White City,206,Leep Networks (Water) Ltd (formerly SSE Water Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,40597.7958602905,966.2785684483
413,Shotton,38,Albion Eco Ltd,ALBE,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,705312.825325012,3427.99336695799
414,Liverpool International Business Park,173,Leep Networks (Water) Ltd,LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,883813.491065979,4527.30763499967
415,"Media City, Salford Quays",175,Leep Networks (Water) Ltd (formerly Peel Water Networks Ltd),LEP,small new entrant water/sewerage company (sometimes referred to as a NAV),inset, ,108112.81791687,1643.41999489705
416,"Pork Farms (Bowyers), Trowbridge, Wiltshire",210,Wessex Water,WSX,regional water and sewerage company,inset, ,38635.7929077148,846.948659185117
