Constituency,Code,2020: Number of properties at >1% risk,2020: Number of properties at >0.1% risk,2020: Number of properties at >0.01% risk,2018: Number of properties at >1% risk,2018: Number of properties at >0.1% risk,2018: Number of properties at >0.01% risk,2016: Number of properties at >1% risk,2016: Number of properties at >0.1% risk,2016: Number of properties at >0.01% risk,2020: Percentage of properties at >1% risk,2020: Percentage of properties at >0.1% risk,2020: Percentage of properties at >0.01% risk,2018: Percentage of properties at >1% risk,2018: Percentage of properties at >0.1% risk,2018: Percentage of properties at >0.01% risk,2016: Percentage of properties at >1% risk,2016: Percentage of properties at >0.1% risk,2016: Percentage of properties at >0.01% risk
Rochdale Co Const,E14000897,1318,1872,1970,1334,1874,1972,1336,1874,1972,2.5%,3.5%,3.7%,2.5%,3.5%,3.7%,2.5%,3.5%,3.7%
Rochester and Strood Co Const,E14000898,2442,6182,6459,2457,6851,7146,2669,7063,7146,4.2%,10.6%,11.1%,4.2%,11.7%,12.3%,4.6%,12.1%,12.3%
Rochford and Southend East Co Const,E14000899,768,5051,5207,787,6141,6372,790,6222,6452,1.4%,8.9%,9.2%,1.4%,10.9%,11.3%,1.4%,11.0%,11.4%
Romford Boro Const,E14000900,306,891,891,522,1596,1596,522,1596,1596,0.6%,1.8%,1.8%,1.1%,3.3%,3.3%,1.1%,3.3%,3.3%
Romsey and Southampton North Co Const,E14000901,1936,2742,2755,2013,2853,2866,2116,2963,2980,3.8%,5.4%,5.4%,3.9%,5.6%,5.6%,4.1%,5.8%,5.8%
Rossendale and Darwen Boro Const,E14000902,2511,3718,3728,2481,3620,3633,2476,3620,3633,4.6%,6.8%,6.8%,4.5%,6.6%,6.6%,4.5%,6.6%,6.6%
Rother Valley Co Const,E14000903,228,267,268,228,267,268,228,267,268,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%
Rotherham Boro Const,E14000904,635,1051,1051,635,1051,1051,635,1051,1051,1.4%,2.3%,2.3%,1.4%,2.3%,2.3%,1.4%,2.3%,2.3%
Rugby Co Const,E14000905,608,1199,1199,609,1200,1200,609,1200,1200,1.1%,2.2%,2.2%,1.1%,2.2%,2.2%,1.1%,2.2%,2.2%
"Ruislip, Northwood and Pinner Boro Const",E14000906,1401,1848,2350,1408,1922,2425,1411,1971,2474,3.0%,3.9%,5.0%,3.0%,4.1%,5.2%,3.0%,4.2%,5.3%
Runnymede and Weybridge Co Const,E14000907,11116,14878,14987,11482,15691,16327,11502,15707,16343,18.9%,25.3%,25.5%,19.5%,26.7%,27.8%,19.6%,26.7%,27.8%
Rushcliffe Co Const,E14000908,1271,12214,12587,1271,12214,12587,1272,12214,12587,2.3%,21.9%,22.5%,2.3%,21.9%,22.5%,2.3%,21.9%,22.5%
Rutland and Melton Co Const,E14000909,1281,2220,2632,1281,2220,2632,1304,2253,2666,1.8%,3.2%,3.7%,1.8%,3.2%,3.7%,1.9%,3.2%,3.8%
Saffron Walden Co Const,E14000910,1240,1395,1399,1243,1397,1401,1253,1407,1409,1.7%,1.9%,1.9%,1.7%,1.9%,1.9%,1.7%,1.9%,1.9%
Salford and Eccles Boro Const,E14000911,1282,9325,9336,1282,9697,9712,1571,9712,9712,2.0%,14.3%,14.3%,2.0%,14.9%,14.9%,2.4%,14.9%,14.9%
Salisbury Co Const,E14000912,2336,4255,4312,1773,3654,3800,1833,3725,3871,3.9%,7.2%,7.3%,3.0%,6.2%,6.4%,3.1%,6.3%,6.5%
Scarborough and Whitby Co Const,E14000913,1362,2088,2088,1360,2088,2088,1371,2109,2124,1.8%,2.8%,2.8%,1.8%,2.8%,2.8%,1.8%,2.8%,2.9%
Scunthorpe Co Const,E14000914,831,1067,1067,831,1067,1067,831,1067,1067,1.7%,2.2%,2.2%,1.7%,2.2%,2.2%,1.7%,2.2%,2.2%
Sedgefield Co Const,E14000915,600,1185,1188,600,1185,1188,606,1185,1188,1.1%,2.3%,2.3%,1.1%,2.3%,2.3%,1.2%,2.3%,2.3%
Sefton Central Co Const,E14000916,222,579,705,223,578,705,223,577,705,0.5%,1.3%,1.6%,0.5%,1.3%,1.6%,0.5%,1.3%,1.6%
Selby and Ainsty Co Const,E14000917,3356,13438,18021,3475,15805,20868,3997,17306,22375,4.8%,19.1%,25.6%,4.9%,22.5%,29.7%,5.7%,24.6%,31.8%
Sevenoaks Co Const,E14000918,915,1108,1175,1050,1417,1484,1052,1417,1484,1.7%,2.1%,2.2%,2.0%,2.6%,2.8%,2.0%,2.6%,2.8%
Sheffield Central Boro Const,E14000919,4738,7745,7745,4746,7745,7745,4745,7745,7745,7.5%,12.2%,12.2%,7.5%,12.2%,12.2%,7.5%,12.2%,12.2%
Sheffield South East Boro Const,E14000920,957,1538,1538,958,1538,1538,956,1538,1538,2.0%,3.2%,3.2%,2.0%,3.2%,3.2%,2.0%,3.2%,3.2%
"Sheffield, Brightside and Hillsborough Boro Const",E14000921,912,1574,1574,912,1574,1574,914,1574,1574,1.8%,3.1%,3.1%,1.8%,3.1%,3.1%,1.8%,3.1%,3.1%
"Sheffield, Hallam Co Const",E14000922,179,291,291,176,291,291,177,291,291,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%,0.4%,0.6%,0.6%
"Sheffield, Heeley Boro Const",E14000923,376,384,384,373,384,384,376,434,434,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.8%,0.9%,0.9%
Sherwood Co Const,E14000924,1174,1305,1305,1195,1326,1326,1199,1327,1327,2.1%,2.3%,2.3%,2.1%,2.3%,2.3%,2.1%,2.3%,2.3%
Shipley Co Const,E14000925,1726,2075,2075,1726,2075,2075,1735,2075,2075,3.3%,3.9%,3.9%,3.3%,3.9%,3.9%,3.3%,3.9%,3.9%
Shrewsbury and Atcham Co Const,E14000926,2412,3051,3165,2412,3052,3166,2494,3149,3263,3.6%,4.5%,4.7%,3.6%,4.5%,4.7%,3.7%,4.7%,4.9%
Sittingbourne and Sheppey Co Const,E14000927,1106,13161,15802,1110,13340,16250,3165,15418,16245,1.7%,20.8%,24.9%,1.8%,21.0%,25.6%,5.0%,24.3%,25.6%
Skipton and Ripon Co Const,E14000928,5524,8054,8481,5680,8274,8701,5710,8319,8768,6.4%,9.4%,9.9%,6.6%,9.6%,10.1%,6.7%,9.7%,10.2%
Sleaford and North Hykeham Co Const,E14000929,3516,5940,5959,3691,6250,6269,3684,6251,6270,4.6%,7.7%,7.8%,4.8%,8.1%,8.2%,4.8%,8.1%,8.2%
Slough Boro Const,E14000930,3304,4691,6227,3304,4692,6228,3302,4690,6227,5.9%,8.4%,11.1%,5.9%,8.4%,11.1%,5.9%,8.4%,11.1%
Solihull Boro Const,E14000931,554,580,580,1066,1103,1103,1068,1105,1105,1.2%,1.2%,1.2%,2.2%,2.3%,2.3%,2.2%,2.3%,2.3%
Somerton and Frome Co Const,E14000932,2208,2973,3023,1911,2575,2625,2220,3047,3166,2.7%,3.6%,3.7%,2.3%,3.1%,3.2%,2.7%,3.7%,3.8%
South Basildon and East Thurrock Co Const,E14000933,266,1825,3411,271,1889,3527,271,1905,3633,0.5%,3.6%,6.8%,0.5%,3.8%,7.0%,0.5%,3.8%,7.2%
South Cambridgeshire Co Const,E14000934,2370,2816,3091,2371,2817,3092,2591,3053,3328,3.4%,4.0%,4.4%,3.4%,4.0%,4.4%,3.7%,4.3%,4.7%
South Derbyshire Co Const,E14000935,2043,5654,5951,2043,5653,5951,2044,5656,5952,3.7%,10.2%,10.7%,3.7%,10.2%,10.7%,3.7%,10.2%,10.7%
South Dorset Co Const,E14000936,2000,4470,5042,2013,4465,5037,2031,4487,5058,3.3%,7.4%,8.3%,3.3%,7.4%,8.3%,3.4%,7.4%,8.3%
South East Cambridgeshire Co Const,E14000937,2304,3373,3818,2304,3375,3820,2304,3375,3820,3.1%,4.6%,5.2%,3.1%,4.6%,5.2%,3.1%,4.6%,5.2%
South East Cornwall Co Const,E14000938,2522,2841,2856,2523,2841,2856,2522,2841,2856,3.6%,4.0%,4.1%,3.6%,4.0%,4.1%,3.6%,4.0%,4.1%
South Holland and The Deepings Co Const,E14000939,20015,41676,48353,20123,42083,48805,20068,41605,48805,29.9%,62.3%,72.3%,30.1%,62.9%,72.9%,30.0%,62.2%,72.9%
South Leicestershire Co Const,E14000940,838,1086,1086,1408,1894,1894,1496,2010,2010,1.5%,1.9%,1.9%,2.5%,3.3%,3.3%,2.6%,3.5%,3.5%
South Norfolk Co Const,E14000941,1365,2360,2377,1364,2360,2377,1411,2410,2498,1.9%,3.3%,3.3%,1.9%,3.3%,3.3%,2.0%,3.3%,3.5%
South Northamptonshire Co Const,E14000942,531,850,915,539,890,955,547,899,965,0.8%,1.2%,1.3%,0.8%,1.3%,1.4%,0.8%,1.3%,1.4%
South Ribble Co Const,E14000943,1460,4047,6658,1425,4050,6660,2221,4563,6841,2.6%,7.3%,12.0%,2.6%,7.3%,12.0%,4.0%,8.2%,12.3%
South Shields Boro Const,E14000944,20,64,64,20,62,62,20,77,77,0.0%,0.1%,0.1%,0.0%,0.1%,0.1%,0.0%,0.2%,0.2%
South Staffordshire Co Const,E14000945,1009,1305,1305,1010,1305,1305,1011,1305,1305,1.9%,2.5%,2.5%,1.9%,2.5%,2.5%,2.0%,2.5%,2.5%
South Suffolk Co Const,E14000946,1098,1437,1444,1721,2305,2318,1722,2306,2318,1.7%,2.3%,2.3%,2.7%,3.6%,3.6%,2.7%,3.6%,3.6%
South Swindon Co Const,E14000947,292,520,520,292,520,520,292,520,520,0.5%,0.9%,0.9%,0.5%,0.9%,0.9%,0.5%,0.9%,0.9%
South Thanet Co Const,E14000948,1081,1454,1454,1252,1712,1712,1249,1707,1707,1.9%,2.5%,2.5%,2.1%,2.9%,2.9%,2.1%,2.9%,2.9%
South West Bedfordshire Co Const,E14000949,462,820,1083,471,829,1092,471,989,1092,0.8%,1.5%,1.9%,0.8%,1.5%,1.9%,0.8%,1.8%,1.9%
South West Devon Co Const,E14000950,1211,1554,1558,1106,1395,1399,1122,1410,1415,2.3%,3.0%,3.0%,2.1%,2.7%,2.7%,2.1%,2.7%,2.7%
South West Hertfordshire Co Const,E14000951,579,1080,1166,598,1090,1175,594,1089,1175,1.0%,1.9%,2.1%,1.1%,2.0%,2.1%,1.1%,2.0%,2.1%
South West Norfolk Co Const,E14000952,11034,12754,12971,11088,12860,13078,11217,13004,13374,14.7%,16.9%,17.2%,14.7%,17.1%,17.4%,14.9%,17.3%,17.8%
South West Surrey Co Const,E14000953,1450,2236,2236,1547,2377,2377,1548,2377,2377,2.4%,3.7%,3.7%,2.5%,3.9%,3.9%,2.5%,3.9%,3.9%
South West Wiltshire Co Const,E14000954,1187,1844,1854,1187,1844,1854,1186,1844,1854,1.8%,2.8%,2.8%,1.8%,2.8%,2.8%,1.8%,2.8%,2.8%
"Southampton, Itchen Boro Const",E14000955,751,1448,1448,752,1457,1457,752,1454,1454,1.4%,2.7%,2.7%,1.4%,2.7%,2.7%,1.4%,2.7%,2.7%
"Southampton, Test Boro Const",E14000956,1596,1863,1863,1647,1927,1927,1649,1927,1927,3.0%,3.5%,3.5%,3.1%,3.6%,3.6%,3.1%,3.6%,3.6%
Southend West Boro Const,E14000957,354,573,573,360,649,649,457,894,943,0.8%,1.3%,1.3%,0.8%,1.4%,1.4%,1.0%,2.0%,2.1%
Southport Boro Const,E14000958,16,3147,6842,16,3147,6842,16,3146,6842,0.0%,5.8%,12.5%,0.0%,5.8%,12.5%,0.0%,5.8%,12.5%
Spelthorne Boro Const,E14000959,6257,13404,13856,6989,18081,18545,6997,18084,18545,13.0%,27.8%,28.7%,14.5%,37.5%,38.5%,14.5%,37.5%,38.5%
St. Albans Co Const,E14000960,430,581,637,917,991,1047,1044,1129,1129,0.8%,1.1%,1.2%,1.8%,1.9%,2.0%,2.0%,2.2%,2.2%
St. Austell and Newquay Co Const,E14000961,2401,2651,2651,2401,2651,2651,2400,2651,2651,3.4%,3.7%,3.7%,3.4%,3.7%,3.7%,3.4%,3.7%,3.7%
St. Helens North Boro Const,E14000962,305,439,439,316,439,439,316,439,439,0.6%,0.9%,0.9%,0.6%,0.9%,0.9%,0.6%,0.9%,0.9%
St. Helens South and Whiston Boro Const,E14000963,205,414,438,205,414,438,204,414,438,0.4%,0.8%,0.8%,0.4%,0.8%,0.8%,0.4%,0.8%,0.8%
St. Ives Co Const,E14000964,2993,3432,3732,2994,3439,3751,2988,3435,3749,4.3%,4.9%,5.3%,4.3%,4.9%,5.4%,4.3%,4.9%,5.4%
Stafford Co Const,E14000965,1575,2078,2083,1576,2078,2083,1578,2078,2083,2.9%,3.8%,3.8%,2.9%,3.8%,3.8%,2.9%,3.8%,3.8%
Staffordshire Moorlands Co Const,E14000966,774,876,876,774,876,876,774,876,876,1.4%,1.6%,1.6%,1.4%,1.6%,1.6%,1.4%,1.6%,1.6%
Stalybridge and Hyde Co Const,E14000967,1116,1473,1477,1144,1501,1505,1166,1527,1505,2.0%,2.7%,2.7%,2.1%,2.7%,2.7%,2.1%,2.8%,2.7%
Stevenage Co Const,E14000968,120,311,376,219,371,382,276,382,382,0.2%,0.6%,0.7%,0.4%,0.7%,0.7%,0.5%,0.7%,0.7%
Stockport Boro Const,E14000969,241,858,859,353,496,496,353,496,496,0.5%,1.9%,1.9%,0.8%,1.1%,1.1%,0.8%,1.1%,1.1%
Stockton North Boro Const,E14000970,541,1578,1613,572,1610,1645,595,1634,1645,1.1%,3.1%,3.2%,1.1%,3.2%,3.2%,1.2%,3.2%,3.2%
Stockton South Boro Const,E14000971,1002,1090,1164,1006,1090,1164,1008,1093,1167,2.0%,2.2%,2.3%,2.0%,2.2%,2.3%,2.0%,2.2%,2.3%
Stoke-on-Trent Central Boro Const,E14000972,1687,2623,2623,1689,2624,2624,1686,2624,2624,3.5%,5.4%,5.4%,3.5%,5.4%,5.4%,3.5%,5.4%,5.4%
Stoke-on-Trent North Boro Const,E14000973,269,293,293,269,293,293,269,293,293,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%,0.5%,0.6%,0.6%
Stoke-on-Trent South Boro Const,E14000974,1907,2191,2191,1911,2194,2194,1908,2194,2194,4.2%,4.8%,4.8%,4.2%,4.8%,4.8%,4.2%,4.8%,4.8%
Stone Co Const,E14000975,1228,1384,1384,1239,1398,1398,1239,1398,1398,2.1%,2.4%,2.4%,2.1%,2.4%,2.4%,2.1%,2.4%,2.4%
Stourbridge Boro Const,E14000976,339,381,381,339,381,381,339,381,382,0.7%,0.8%,0.8%,0.7%,0.8%,0.8%,0.7%,0.8%,0.8%
Stratford-on-Avon Co Const,E14000977,3945,5080,5090,4070,5279,5289,4076,5293,5303,6.0%,7.7%,7.7%,6.2%,8.0%,8.0%,6.2%,8.0%,8.0%
Streatham Boro Const,E14000978,861,1090,1090,861,1084,1084,860,1084,1084,1.6%,2.0%,2.0%,1.6%,2.0%,2.0%,1.6%,2.0%,2.0%
Stretford and Urmston Boro Const,E14000979,167,2400,2404,308,2311,2312,310,2311,2312,0.3%,4.6%,4.6%,0.6%,4.5%,4.5%,0.6%,4.5%,4.5%
Stroud Co Const,E14000980,1934,3181,4142,1977,3222,4183,2172,3716,4677,3.0%,4.9%,6.3%,3.0%,4.9%,6.4%,3.3%,5.7%,7.1%
